year,ai_type,n_papers,layer,venues,high_agency_n,gap_a_n
2021,conversational,11,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,4,1
2021,xai,22,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,9,2
2021,classical_ml,4,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,2,0
2021,unclassified,8,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,3,1
2022,agentic_ai,10,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,5,1
2022,llm,16,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,8,1
2022,generative_ai,10,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,5,1
2022,conversational,5,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,2,0
2022,xai,13,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,6,1
2022,classical_ml,1,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,0,0
2022,unclassified,23,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,11,1
2023,agentic_ai,20,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,10,2
2023,llm,17,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,9,1
2023,generative_ai,21,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,11,2
2023,conversational,4,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,2,0
2023,xai,13,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,7,1
2023,classical_ml,5,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,3,0
2023,unclassified,11,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,6,1
2024,agentic_ai,24,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,13,2
2024,llm,30,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,17,3
2024,generative_ai,25,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,14,2
2024,conversational,13,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,7,1
2024,xai,16,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,9,2
2024,classical_ml,2,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,1,0
2024,unclassified,16,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,9,2
2025,agentic_ai,35,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,22,7
2025,llm,29,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,19,6
2025,generative_ai,24,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,15,5
2025,conversational,10,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,6,2
2025,xai,13,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,8,2
2025,classical_ml,2,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,1,0
2025,unclassified,12,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,8,2
