record_id,doi,title,year,venue,venue_type,ai_type,genai_llm_agentic_flag,tafs_final,csds_final,css_final,esrs_final,gap_a_final,gap_b_final,under_specified_final,evidence_depth_label,confidence_label,abstract_word_count,open_access,citation_count,layer
R0035,10.XXXX/hciai.2019.0035,"[Scored paper 35, 2019] Full titles available after pipeline run from OpenAlex",2019,CSCW,conference,xai,false,4,2,1,3,false,true,false,L2,high,138,false,27,B_scored
R0036,10.XXXX/hciai.2019.0036,"[Scored paper 36, 2019] Full titles available after pipeline run from OpenAlex",2019,IUI,conference,agentic_ai,true,5,0,3,4,false,false,false,L2,medium,374,false,47,B_scored
R0037,10.XXXX/hciai.2019.0037,"[Scored paper 37, 2019] Full titles available after pipeline run from OpenAlex",2019,TOCHI,journal,conversational_ai,true,0,2,2,5,false,false,false,L2,low,204,true,12,B_scored
R0038,10.XXXX/hciai.2019.0038,"[Scored paper 38, 2019] Full titles available after pipeline run from OpenAlex",2019,IUI,conference,xai,false,0,2,1,4,false,false,false,L2,low,369,false,45,B_scored
R0039,10.XXXX/hciai.2019.0039,"[Scored paper 39, 2019] Full titles available after pipeline run from OpenAlex",2019,CSCW,conference,agentic_ai,true,2,0,0,3,false,false,false,L2,medium,254,true,52,B_scored
R0040,10.XXXX/hciai.2019.0040,"[Scored paper 40, 2019] Full titles available after pipeline run from OpenAlex",2019,UIST,conference,xai,false,0,1,2,3,false,false,false,L2,low,315,false,41,B_scored
R0041,10.XXXX/hciai.2019.0041,"[Scored paper 41, 2019] Full titles available after pipeline run from OpenAlex",2019,HCI Journal,journal,generative_ai,true,0,3,0,3,false,false,false,L2,low,355,false,44,B_scored
R0042,10.XXXX/hciai.2019.0042,"[Scored paper 42, 2019] Full titles available after pipeline run from OpenAlex",2019,IUI,conference,generative_ai,true,0,3,3,2,false,false,false,L2,low,205,false,36,B_scored
R0043,10.XXXX/hciai.2019.0043,"[Scored paper 43, 2019] Full titles available after pipeline run from OpenAlex",2019,CSCW,conference,llm,true,1,0,2,5,false,false,false,L2,low,274,true,59,B_scored
R0044,10.XXXX/hciai.2019.0044,"[Scored paper 44, 2019] Full titles available after pipeline run from OpenAlex",2019,DIS,conference,agentic_ai,true,4,0,1,3,false,true,false,L2,medium,212,true,23,B_scored
R0045,10.XXXX/hciai.2019.0045,"[Scored paper 45, 2019] Full titles available after pipeline run from OpenAlex",2019,CSCW,conference,unclassified,false,4,2,0,5,false,true,true,L2,high,177,true,15,B_scored
R0046,10.XXXX/hciai.2019.0046,"[Scored paper 46, 2019] Full titles available after pipeline run from OpenAlex",2019,IJHCS,journal,conversational_ai,true,0,4,2,4,false,false,false,L2,low,331,false,17,B_scored
R0047,10.XXXX/hciai.2019.0047,"[Scored paper 47, 2019] Full titles available after pipeline run from OpenAlex",2019,UIST,conference,unclassified,false,5,3,3,4,false,false,false,L2,high,377,false,25,B_scored
R0048,10.XXXX/hciai.2019.0048,"[Scored paper 48, 2019] Full titles available after pipeline run from OpenAlex",2019,IJHCI,journal,xai,false,0,4,2,3,false,false,false,L2,low,260,false,11,B_scored
R0049,10.XXXX/hciai.2019.0049,"[Scored paper 49, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,generative_ai,true,4,4,3,4,false,false,true,L2,high,141,false,48,B_scored
R0050,10.XXXX/hciai.2019.0050,"[Scored paper 50, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,conversational_ai,true,0,3,2,5,false,false,true,L2,low,221,false,5,B_scored
R0051,10.XXXX/hciai.2019.0051,"[Scored paper 51, 2019] Full titles available after pipeline run from OpenAlex",2019,CSCW,conference,xai,false,4,2,3,5,false,false,false,L2,high,179,true,15,B_scored
R0052,10.XXXX/hciai.2019.0052,"[Scored paper 52, 2019] Full titles available after pipeline run from OpenAlex",2019,TOCHI,journal,conversational_ai,true,0,1,1,3,false,false,false,L2,low,103,false,44,B_scored
R0053,10.XXXX/hciai.2019.0053,"[Scored paper 53, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,xai,false,2,2,0,3,false,false,false,L2,medium,331,true,4,B_scored
R0054,10.XXXX/hciai.2019.0054,"[Scored paper 54, 2019] Full titles available after pipeline run from OpenAlex",2019,UIST,conference,llm,true,0,1,3,4,false,false,false,L2,low,106,true,24,B_scored
R0055,10.XXXX/hciai.2019.0055,"[Scored paper 55, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,unclassified,false,1,1,3,4,false,false,false,L2,low,375,false,8,B_scored
R0056,10.XXXX/hciai.2019.0056,"[Scored paper 56, 2019] Full titles available after pipeline run from OpenAlex",2019,IUI,conference,xai,false,4,1,1,4,false,true,false,L2,medium,207,true,28,B_scored
R0057,10.XXXX/hciai.2019.0057,"[Scored paper 57, 2019] Full titles available after pipeline run from OpenAlex",2019,IJHCS,journal,conversational_ai,true,1,2,1,4,false,false,false,L2,low,347,false,25,B_scored
R0058,10.XXXX/hciai.2019.0058,"[Scored paper 58, 2019] Full titles available after pipeline run from OpenAlex",2019,IUI,conference,conversational_ai,true,1,2,2,4,false,false,false,L2,low,371,false,6,B_scored
R0059,10.XXXX/hciai.2019.0059,"[Scored paper 59, 2019] Full titles available after pipeline run from OpenAlex",2019,HCI Journal,journal,unclassified,false,1,3,2,3,false,false,false,L2,low,188,true,14,B_scored
R0060,10.XXXX/hciai.2019.0060,"[Scored paper 60, 2019] Full titles available after pipeline run from OpenAlex",2019,DIS,conference,unclassified,false,0,3,1,4,false,false,false,L2,low,289,false,34,B_scored
R0061,10.XXXX/hciai.2019.0061,"[Scored paper 61, 2019] Full titles available after pipeline run from OpenAlex",2019,CSCW,conference,agentic_ai,true,5,1,2,3,false,false,false,L2,medium,312,true,5,B_scored
R0062,10.XXXX/hciai.2019.0062,"[Scored paper 62, 2019] Full titles available after pipeline run from OpenAlex",2019,IJHCS,journal,agentic_ai,true,5,2,2,4,false,false,false,L2,high,181,false,49,B_scored
R0063,10.XXXX/hciai.2019.0063,"[Scored paper 63, 2019] Full titles available after pipeline run from OpenAlex",2019,BIT,journal,agentic_ai,true,1,5,2,3,false,false,false,L2,low,116,true,8,B_scored
R0064,10.XXXX/hciai.2019.0064,"[Scored paper 64, 2019] Full titles available after pipeline run from OpenAlex",2019,IwC,journal,xai,false,0,1,2,4,false,false,true,L2,low,304,true,23,B_scored
R0065,10.XXXX/hciai.2019.0065,"[Scored paper 65, 2019] Full titles available after pipeline run from OpenAlex",2019,HCI Journal,journal,llm,true,1,4,2,3,false,false,true,L2,low,332,false,28,B_scored
R0066,10.XXXX/hciai.2019.0066,"[Scored paper 66, 2019] Full titles available after pipeline run from OpenAlex",2019,TOCHI,journal,llm,true,5,1,3,2,false,false,false,L2,medium,93,true,20,B_scored
R0067,10.XXXX/hciai.2019.0067,"[Scored paper 67, 2019] Full titles available after pipeline run from OpenAlex",2019,IUI,conference,llm,true,4,3,3,5,false,false,false,L2,high,217,false,6,B_scored
R0068,10.XXXX/hciai.2019.0068,"[Scored paper 68, 2019] Full titles available after pipeline run from OpenAlex",2019,DIS,conference,generative_ai,true,1,2,0,4,false,false,false,L2,low,222,true,0,B_scored
R0069,10.XXXX/hciai.2019.0069,"[Scored paper 69, 2019] Full titles available after pipeline run from OpenAlex",2019,DIS,conference,conversational_ai,true,5,0,2,3,false,false,true,L2,medium,258,false,3,B_scored
R0070,10.XXXX/hciai.2019.0070,"[Scored paper 70, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,conversational_ai,true,2,3,2,4,false,false,false,L2,medium,333,true,36,B_scored
R0071,10.XXXX/hciai.2019.0071,"[Scored paper 71, 2019] Full titles available after pipeline run from OpenAlex",2019,DIS,conference,agentic_ai,true,2,1,2,5,false,false,false,L2,medium,241,true,0,B_scored
R0072,10.XXXX/hciai.2019.0072,"[Scored paper 72, 2019] Full titles available after pipeline run from OpenAlex",2019,IwC,journal,llm,true,5,3,2,5,false,false,false,L2,high,80,false,62,B_scored
R0073,10.XXXX/hciai.2019.0073,"[Count-only paper 73, 2019] Abstract <75 words — no index scores",2019,DIS,conference,unclassified,false,,,,,false,false,false,L1,low,54,false,46,B_count_only
R0074,10.XXXX/hciai.2019.0074,"[Count-only paper 74, 2019] Abstract <75 words — no index scores",2019,IJHCI,journal,unclassified,false,,,,,false,false,false,L1,low,35,false,6,B_count_only
R0075,10.XXXX/hciai.2019.0075,"[Count-only paper 75, 2019] Abstract <75 words — no index scores",2019,CSCW,conference,generative_ai,true,,,,,false,false,false,L1,low,69,false,0,B_count_only
R0076,10.XXXX/hciai.2019.0076,"[Count-only paper 76, 2019] Abstract <75 words — no index scores",2019,BIT,journal,generative_ai,true,,,,,false,false,false,L1,low,44,false,30,B_count_only
R0077,10.XXXX/hciai.2019.0077,"[Count-only paper 77, 2019] Abstract <75 words — no index scores",2019,TOCHI,journal,xai,false,,,,,false,false,false,L1,low,72,false,39,B_count_only
R0078,10.XXXX/hciai.2019.0078,"[Count-only paper 78, 2019] Abstract <75 words — no index scores",2019,CHI,conference,xai,false,,,,,false,false,false,L1,low,57,false,52,B_count_only
R0079,10.XXXX/hciai.2019.0079,"[Count-only paper 79, 2019] Abstract <75 words — no index scores",2019,CHI,conference,generative_ai,true,,,,,false,false,false,L1,low,74,false,11,B_count_only
R0080,10.XXXX/hciai.2019.0080,"[Count-only paper 80, 2019] Abstract <75 words — no index scores",2019,TOCHI,journal,conversational_ai,true,,,,,false,false,false,L1,low,46,false,6,B_count_only
R0081,10.XXXX/hciai.2019.0081,"[Count-only paper 81, 2019] Abstract <75 words — no index scores",2019,HCI Journal,journal,xai,false,,,,,false,false,false,L1,low,24,false,27,B_count_only
R0082,10.XXXX/hciai.2019.0082,"[Count-only paper 82, 2019] Abstract <75 words — no index scores",2019,TOCHI,journal,llm,true,,,,,false,false,false,L1,low,61,true,6,B_count_only
R0083,10.XXXX/hciai.2019.0083,"[Count-only paper 83, 2019] Abstract <75 words — no index scores",2019,CSCW,conference,xai,false,,,,,false,false,false,L1,low,63,false,2,B_count_only
R0084,10.XXXX/hciai.2019.0084,"[Count-only paper 84, 2019] Abstract <75 words — no index scores",2019,TOCHI,journal,conversational_ai,true,,,,,false,false,false,L1,low,68,false,21,B_count_only
R0085,10.XXXX/hciai.2019.0085,"[Count-only paper 85, 2019] Abstract <75 words — no index scores",2019,DIS,conference,generative_ai,true,,,,,false,false,false,L1,low,59,true,20,B_count_only
R0086,10.XXXX/hciai.2019.0086,"[Count-only paper 86, 2019] Abstract <75 words — no index scores",2019,IJHCI,journal,generative_ai,true,,,,,false,false,false,L1,low,67,true,23,B_count_only
R0087,10.XXXX/hciai.2019.0087,"[Count-only paper 87, 2019] Abstract <75 words — no index scores",2019,IJHCI,journal,xai,false,,,,,false,false,false,L1,low,68,false,25,B_count_only
R0088,10.XXXX/hciai.2019.0088,"[Count-only paper 88, 2019] Abstract <75 words — no index scores",2019,TOCHI,journal,conversational_ai,true,,,,,false,false,false,L1,low,21,true,5,B_count_only
R0089,10.XXXX/hciai.2019.0089,"[Count-only paper 89, 2019] Abstract <75 words — no index scores",2019,IJHCS,journal,xai,false,,,,,false,false,false,L1,low,38,false,3,B_count_only
R0090,10.XXXX/hciai.2019.0090,"[Count-only paper 90, 2019] Abstract <75 words — no index scores",2019,UIST,conference,agentic_ai,true,,,,,false,false,false,L1,low,63,false,16,B_count_only
R0091,10.XXXX/hciai.2019.0091,"[Count-only paper 91, 2019] Abstract <75 words — no index scores",2019,CHI,conference,generative_ai,true,,,,,false,false,false,L1,low,25,false,12,B_count_only
R0092,10.XXXX/hciai.2019.0092,"[Count-only paper 92, 2019] Abstract <75 words — no index scores",2019,DIS,conference,llm,true,,,,,false,false,false,L1,low,57,true,30,B_count_only
R0093,10.XXXX/hciai.2019.0093,"[Count-only paper 93, 2019] Abstract <75 words — no index scores",2019,UIST,conference,xai,false,,,,,false,false,false,L1,low,36,false,11,B_count_only
R0094,10.XXXX/hciai.2019.0094,"[Count-only paper 94, 2019] Abstract <75 words — no index scores",2019,UIST,conference,unclassified,false,,,,,false,false,false,L1,low,38,false,27,B_count_only
R0095,10.XXXX/hciai.2019.0095,"[Count-only paper 95, 2019] Abstract <75 words — no index scores",2019,CHI,conference,llm,true,,,,,false,false,false,L1,low,48,false,26,B_count_only
R0096,10.XXXX/hciai.2019.0096,"[Count-only paper 96, 2019] Abstract <75 words — no index scores",2019,HCI Journal,journal,agentic_ai,true,,,,,false,false,false,L1,low,64,false,8,B_count_only
R0097,10.XXXX/hciai.2019.0097,"[Count-only paper 97, 2019] Abstract <75 words — no index scores",2019,IwC,journal,conversational_ai,true,,,,,false,false,false,L1,low,32,false,15,B_count_only
R0098,10.XXXX/hciai.2019.0098,"[Count-only paper 98, 2019] Abstract <75 words — no index scores",2019,UIST,conference,conversational_ai,true,,,,,false,false,false,L1,low,42,false,2,B_count_only
R0099,10.XXXX/hciai.2019.0099,"[Count-only paper 99, 2019] Abstract <75 words — no index scores",2019,IJHCI,journal,conversational_ai,true,,,,,false,false,false,L1,low,38,true,19,B_count_only
R0100,10.XXXX/hciai.2019.0100,"[Count-only paper 100, 2019] Abstract <75 words — no index scores",2019,CHI,conference,xai,false,,,,,false,false,false,L1,low,63,false,7,B_count_only
R0101,10.XXXX/hciai.2019.0101,"[Count-only paper 101, 2019] Abstract <75 words — no index scores",2019,IJHCI,journal,unclassified,false,,,,,false,false,false,L1,low,58,false,31,B_count_only
R0102,10.XXXX/hciai.2019.0102,"[Count-only paper 102, 2019] Abstract <75 words — no index scores",2019,IJHCS,journal,conversational_ai,true,,,,,false,false,false,L1,low,34,false,27,B_count_only
R0103,10.XXXX/hciai.2019.0103,"[Count-only paper 103, 2019] Abstract <75 words — no index scores",2019,CSCW,conference,xai,false,,,,,false,false,false,L1,low,60,true,9,B_count_only
R0104,10.XXXX/hciai.2019.0104,"[Count-only paper 104, 2019] Abstract <75 words — no index scores",2019,IJHCS,journal,unclassified,false,,,,,false,false,false,L1,low,63,false,43,B_count_only
R0105,10.XXXX/hciai.2019.0105,"[Count-only paper 105, 2019] Abstract <75 words — no index scores",2019,IUI,conference,conversational_ai,true,,,,,false,false,false,L1,low,60,false,2,B_count_only
R0106,10.XXXX/hciai.2019.0106,"[Count-only paper 106, 2019] Abstract <75 words — no index scores",2019,IUI,conference,unclassified,false,,,,,false,false,false,L1,low,66,true,30,B_count_only
R0107,10.XXXX/hciai.2019.0107,"[Count-only paper 107, 2019] Abstract <75 words — no index scores",2019,BIT,journal,xai,false,,,,,false,false,false,L1,low,40,false,14,B_count_only
R0108,10.XXXX/hciai.2019.0108,"[Count-only paper 108, 2019] Abstract <75 words — no index scores",2019,DIS,conference,agentic_ai,true,,,,,false,false,false,L1,low,43,false,19,B_count_only
R0109,10.XXXX/hciai.2019.0109,"[Count-only paper 109, 2019] Abstract <75 words — no index scores",2019,BIT,journal,xai,false,,,,,false,false,false,L1,low,73,true,51,B_count_only
R0110,10.XXXX/hciai.2019.0110,"[Count-only paper 110, 2019] Abstract <75 words — no index scores",2019,HCI Journal,journal,generative_ai,true,,,,,false,false,false,L1,low,38,false,14,B_count_only
R0111,10.XXXX/hciai.2019.0111,"[Count-only paper 111, 2019] Abstract <75 words — no index scores",2019,CSCW,conference,unclassified,false,,,,,false,false,false,L1,low,27,false,39,B_count_only
R0112,10.XXXX/hciai.2019.0112,"[Count-only paper 112, 2019] Abstract <75 words — no index scores",2019,CSCW,conference,llm,true,,,,,false,false,false,L1,low,63,false,25,B_count_only
R0113,10.XXXX/hciai.2019.0113,"[Count-only paper 113, 2019] Abstract <75 words — no index scores",2019,IJHCI,journal,agentic_ai,true,,,,,false,false,false,L1,low,74,false,13,B_count_only
R0114,10.XXXX/hciai.2019.0114,"[Count-only paper 114, 2019] Abstract <75 words — no index scores",2019,CHI,conference,generative_ai,true,,,,,false,false,false,L1,low,54,true,36,B_count_only
R0115,10.XXXX/hciai.2019.0115,"[Count-only paper 115, 2019] Abstract <75 words — no index scores",2019,CSCW,conference,xai,false,,,,,false,false,false,L1,low,67,false,22,B_count_only
R0116,10.XXXX/hciai.2019.0116,"[Count-only paper 116, 2019] Abstract <75 words — no index scores",2019,HCI Journal,journal,agentic_ai,true,,,,,false,false,false,L1,low,26,false,8,B_count_only
R0117,10.XXXX/hciai.2019.0117,"[Count-only paper 117, 2019] Abstract <75 words — no index scores",2019,UIST,conference,xai,false,,,,,false,false,false,L1,low,59,false,31,B_count_only
R0118,10.XXXX/hciai.2019.0118,"[Count-only paper 118, 2019] Abstract <75 words — no index scores",2019,CSCW,conference,llm,true,,,,,false,false,false,L1,low,24,false,6,B_count_only
R0119,10.XXXX/hciai.2019.0119,"[Count-only paper 119, 2019] Abstract <75 words — no index scores",2019,UIST,conference,llm,true,,,,,false,false,false,L1,low,64,false,0,B_count_only
R0120,10.XXXX/hciai.2019.0120,"[Count-only paper 120, 2019] Abstract <75 words — no index scores",2019,HCI Journal,journal,xai,false,,,,,false,false,false,L1,low,39,false,15,B_count_only
R0121,10.XXXX/hciai.2019.0121,"[Count-only paper 121, 2019] Abstract <75 words — no index scores",2019,CHI,conference,llm,true,,,,,false,false,false,L1,low,35,false,24,B_count_only
R0122,10.XXXX/hciai.2019.0122,"[Count-only paper 122, 2019] Abstract <75 words — no index scores",2019,TOCHI,journal,conversational_ai,true,,,,,false,false,false,L1,low,67,false,26,B_count_only
R0123,10.XXXX/hciai.2019.0123,"[Count-only paper 123, 2019] Abstract <75 words — no index scores",2019,DIS,conference,conversational_ai,true,,,,,false,false,false,L1,low,57,false,21,B_count_only
R0124,10.XXXX/hciai.2019.0124,"[Count-only paper 124, 2019] Abstract <75 words — no index scores",2019,CHI,conference,agentic_ai,true,,,,,false,false,false,L1,low,51,false,27,B_count_only
R0125,10.XXXX/hciai.2019.0125,"[Count-only paper 125, 2019] Abstract <75 words — no index scores",2019,HCI Journal,journal,agentic_ai,true,,,,,false,false,false,L1,low,37,true,4,B_count_only
R0126,10.XXXX/hciai.2019.0126,"[Count-only paper 126, 2019] Abstract <75 words — no index scores",2019,HCI Journal,journal,conversational_ai,true,,,,,false,false,false,L1,low,74,false,25,B_count_only
R0127,10.XXXX/hciai.2019.0127,"[Count-only paper 127, 2019] Abstract <75 words — no index scores",2019,IJHCI,journal,xai,false,,,,,false,false,false,L1,low,43,false,28,B_count_only
R0128,10.XXXX/hciai.2019.0128,"[Count-only paper 128, 2019] Abstract <75 words — no index scores",2019,UIST,conference,generative_ai,true,,,,,false,false,false,L1,low,32,false,7,B_count_only
R0129,10.XXXX/hciai.2019.0129,"[Count-only paper 129, 2019] Abstract <75 words — no index scores",2019,HCI Journal,journal,llm,true,,,,,false,false,false,L1,low,72,false,4,B_count_only
R0130,10.XXXX/hciai.2019.0130,"[Count-only paper 130, 2019] Abstract <75 words — no index scores",2019,IUI,conference,agentic_ai,true,,,,,false,false,false,L1,low,21,true,14,B_count_only
R0131,10.XXXX/hciai.2019.0131,"[Count-only paper 131, 2019] Abstract <75 words — no index scores",2019,CSCW,conference,conversational_ai,true,,,,,false,false,false,L1,low,28,false,20,B_count_only
R0132,10.XXXX/hciai.2019.0132,"[Count-only paper 132, 2019] Abstract <75 words — no index scores",2019,DIS,conference,llm,true,,,,,false,false,false,L1,low,57,true,46,B_count_only
R0133,10.XXXX/hciai.2019.0133,"[Count-only paper 133, 2019] Abstract <75 words — no index scores",2019,IwC,journal,llm,true,,,,,false,false,false,L1,low,41,false,16,B_count_only
R0134,10.XXXX/hciai.2019.0134,"[Count-only paper 134, 2019] Abstract <75 words — no index scores",2019,CSCW,conference,agentic_ai,true,,,,,false,false,false,L1,low,29,false,16,B_count_only
R0135,10.XXXX/hciai.2019.0135,"[Count-only paper 135, 2019] Abstract <75 words — no index scores",2019,DIS,conference,xai,false,,,,,false,false,false,L1,low,71,true,7,B_count_only
R0136,10.XXXX/hciai.2019.0136,"[Count-only paper 136, 2019] Abstract <75 words — no index scores",2019,CHI,conference,xai,false,,,,,false,false,false,L1,low,70,false,6,B_count_only
R0137,10.XXXX/hciai.2019.0137,"[Count-only paper 137, 2019] Abstract <75 words — no index scores",2019,IUI,conference,unclassified,false,,,,,false,false,false,L1,low,21,true,41,B_count_only
R0138,10.XXXX/hciai.2019.0138,"[Count-only paper 138, 2019] Abstract <75 words — no index scores",2019,DIS,conference,xai,false,,,,,false,false,false,L1,low,67,true,20,B_count_only
R0139,10.XXXX/hciai.2020.0139,"[Scored paper 139, 2020] Full titles available after pipeline run from OpenAlex",2020,IJHCS,journal,agentic_ai,true,5,1,3,5,false,false,false,L2,medium,150,true,12,B_scored
